Pincode,AreaName,Sarvice Type,Transit Time,Rate group
122105,GURGAON,NORMAL,1-2 Days,1
122106,GURGAON,NORMAL,1-2 Days,1
122107,GURGAON,ODA,1-3 Days,1
122108,GURGAON,ODA,1-3 Days,1
122383,GURGAON,NORMAL,1-2 Days,1
122413,GURGAON,NORMAL,1-2 Days,1
122414,DELHI,ODA,1-3 Days,1
122503,DELHI,NORMAL,1-2 Days,1
122504,DELHI,ODA,1-3 Days,1
122505,DELHI,NORMAL,1-2 Days,1
122506,DELHI,NORMAL,1-2 Days,1
122520,GURGAON,ODA,1-2 Days,1
123001,RAJASTHAN,ODA,2-4 Days,1
123003,GURGAON,NORMAL,1-2 Days,1
123021,GURGAON,ODA,1-3 Days,1
123023,GURGAON,ODA,1-3 Days,1
123024,GURGAON,ODA,1-3 Days,1
123027,GURGAON,ODA,1-3 Days,1
123028,GURGAON,ODA,1-3 Days,1
123029,GURGAON,ODA,1-3 Days,1
123034,GURGAON,ODA,1-3 Days,1
123035,GURGAON,ODA,1-3 Days,1
123101,GURGAON,ODA,1-3 Days,1
123102,GURGAON,ODA,1-3 Days,1
123103,GURGAON,ODA,1-3 Days,1
123104,GURGAON,NORMAL,1-2 Days,1
123105,GURGAON,NORMAL,1-2 Days,1
123106,GURGAON,NORMAL,1-2 Days,1
123107,GURGAON,NORMAL,1-2 Days,1
123108,GURGAON,NORMAL,1-2 Days,1
123109,GURGAON,NORMAL,1-2 Days,1
123110,GURGAON,NORMAL,1-2 Days,1
123301,HARYANA,ODA,2-3 Days,1
123302,GURGAON,ODA,1-3 Days,1
123303,GURGAON,ODA,1-3 Days,1
123400,GURGAON,NORMAL,1-2 Days,1
123401,GURGAON,NORMAL,1-2 Days,1
123411,GURGAON,ODA,1-3 Days,1
123412,GURGAON,ODA,1-3 Days,1
123413,GURGAON,NORMAL,1-2 Days,1
123414,GURGAON,ODA,1-3 Days,1
123501,GURGAON,NORMAL,1-2 Days,1
123502,GURGAON,ODA,1-3 Days,1
123503,DELHI,NORMAL,1-2 Days,1
123504,GURGAON,ODA,1-3 Days,1
123505,DELHI,NORMAL,1-2 Days,1
123506,DELHI,NORMAL,1-2 Days,1
124001,HARYANA,NORMAL,2-3 Days,1
124003,HARYANA,NORMAL,2-3 Days,1
124006,HARYANA,NORMAL,2-3 Days,1
124007,HARYANA,NORMAL,2-3 Days,1
124021,AMBALA,ODA,2-3 Days,1
124102,HARYANA,ODA,1-3 Days,1
124103,HARYANA,ODA,1-3 Days,1
124104,HARYANA,ODA,1-3 Days,1
124105,HARYANA,ODA,1-3 Days,1
124106,GURGAON,ODA,1-3 Days,1
124107,HARYANA,ODA,1-3 Days,1
124108,DELHI,ODA,1-3 Days,1
124109,GURGAON,NORMAL,1-2 Days,1
124111,GURGAON,ODA,1-3 Days,1
124201,GURGAON,ODA,1-3 Days,1
124303,GURGAON,ODA,1-3 Days,1
124404,HARYANA,ODA,1-3 Days,1
124501,HARYANA,ODA,1-3 Days,1
124504,HARYANA,ODA,1-3 Days,1
124505,HARYANA,ODA,1-3 Days,1
124506,HARYANA,ODA,1-3 Days,1
124507,HARYANA,NORMAL,1-2 Days,1
124514,HARYANA,ODA,2-3 Days,1
125001,HARYANA,NORMAL,2-3 Days,1
125002,HARYANA,NORMAL,2-3 Days,1
125003,HARYANA,NORMAL,2-3 Days,1
125004,HARYANA,NORMAL,2-3 Days,1
125005,HARYANA,NORMAL,2-3 Days,1
125006,HARYANA,NORMAL,2-3 Days,1
125007,HARYANA,NORMAL,2-3 Days,1
125008,HARYANA,NORMAL,2-3 Days,1
125009,HARYANA,NORMAL,2-3 Days,1
125011,HARYANA,ODA,2-3 Days,1
125021,BHIWADI,NORMAL,2-3 Days,1
125022,BHIWADI,NORMAL,2-3 Days,1
125023,BHIWADI,NORMAL,2-3 Days,1
125024,BHIWADI,NORMAL,2-3 Days,1
125033,HARYANA,ODA,2-3 Days,1
125037,GURGAON,ODA,1-3 Days,1
125038,GURGAON,ODA,1-3 Days,1
125039,HARYANA,ODA,2-3 Days,1
125042,GURGAON,ODA,1-3 Days,1
125044,HARYANA,NORMAL,2-3 Days,1
125047,HARYANA,ODA,2-3 Days,1
125048,HARYANA,ODA,2-3 Days,1
125049,HARYANA,ODA,2-3 Days,1
125050,HARYANA,ODA,2-3 Days,1
125051,GURGAON,ODA,1-3 Days,1
125052,HARYANA,ODA,2-3 Days,1
125053,HARYANA,ODA,2-3 Days,1
125054,HARYANA,ODA,2-3 Days,1
125055,HARYANA,ODA,2-3 Days,1
125056,HARYANA,ODA,2-3 Days,1
125058,HARYANA,ODA,2-3 Days,1
125060,HARYANA,ODA,2-3 Days,1
125070,GURGAON,ODA,1-3 Days,1
125075,PUNJAB,ODA,2-4 Days,1
125076,PUNJAB,ODA,2-4 Days,1
125077,PUNJAB,ODA,2-4 Days,1
125078,PUNJAB,ODA,2-4 Days,1
125101,PUNJAB,ODA,2-4 Days,1
125102,PUNJAB,ODA,2-4 Days,1
125103,PUNJAB,ODA,2-4 Days,1
125104,PUNJAB,ODA,2-4 Days,1
125106,HARYANA,ODA,2-3 Days,1
125120,HARYANA,ODA,2-3 Days,1
125121,HARYANA,ODA,2-3 Days,1
125201,PUNJAB,ODA,2-4 Days,1
126101,HARYANA,ODA,2-3 Days,1
126102,HARYANA,ODA,2-3 Days,1
126110,HARYANA,ODA,2-3 Days,1
126111,HARYANA,ODA,2-3 Days,1
126112,HARYANA,ODA,2-3 Days,1
126113,HARYANA,ODA,2-3 Days,1
126114,HARYANA,ODA,2-3 Days,1
126115,HARYANA,ODA,2-3 Days,1
126116,HARYANA,ODA,2-3 Days,1
126119,HARYANA,NORMAL,2-3 Days,1
126120,HARYANA,NORMAL,2-3 Days,1
126152,HARYANA,ODA,2-3 Days,1
127021,BHIWADI,NORMAL,2-3 Days,1
127030,BHIWADI,ODA,2-4 Days,1
127032,BHIWADI,ODA,2-4 Days,1
127046,BHIWADI,ODA,2-4 Days,1
127111,BHIWADI,NORMAL,2-3 Days,1
127201,BHIWADI,ODA,2-4 Days,1
127306,HARYANA,ODA,2-4 Days,1
131001,SONIPAT,NORMAL,1-2 Days,1
131021,SONIPAT,NORMAL,1-2 Days,1
131022,SONIPAT,ODA,1-3 Days,1
131023,SONIPAT,ODA,1-3 Days,1
131024,SONIPAT,ODA,1-3 Days,1
131025,SONIPAT,ODA,1-3 Days,1
131026,SONIPAT,ODA,1-3 Days,1
131027,SONIPAT,ODA,1-3 Days,1
131028,SONIPAT,NORMAL,1-2 Days,1
131029,SONIPAT,NORMAL,1-2 Days,1
131030,SONIPAT,ODA,1-3 Days,1
131031,SONIPAT,ODA,1-3 Days,1
131032,SONIPAT,ODA,1-3 Days,1
131033,SONIPAT,ODA,1-3 Days,1
131034,SONIPAT,ODA,1-3 Days,1
131035,SONIPAT,ODA,1-3 Days,1
131036,SONIPAT,ODA,1-3 Days,1
131037,SONIPAT,NORMAL,1-2 Days,1
131038,SONIPAT,ODA,1-3 Days,1
131039,SONIPAT,NORMAL,1-2 Days,1
131040,SONIPAT,ODA,1-3 Days,1
131101,SONIPAT,NORMAL,1-2 Days,1
131102,SONIPAT,ODA,1-3 Days,1
131103,SONIPAT,NORMAL,1-2 Days,1
131301,HARYANA,ODA,2-3 Days,1
131401,SONIPAT,ODA,1-3 Days,1
131402,HARYANA,ODA,1-3 Days,1
131409,AMBALA,ODA,2-4 Days,1
132001,HARYANA,NORMAL,2-3 Days,1
