Pincode,AreaName,Sarvice Type,Transit Time,Rate group
410219,MUMBAI,NORMAL,4-6 Days,1
410220,BHIWANDI,NORMAL,4-6 Days,1
410221,BHIWANDI,NORMAL,4-6 Days,1
410222,MUMBAI,NORMAL,4-6 Days,1
410301,MAHARASTRA,ODA,6-8 Days,1
410302,PUNE,ODA,4-7 Days,1
410401,BHIWANDI,ODA,4-7 Days,1
410402,BHIWANDI,ODA,4-7 Days,1
410403,BHIWANDI,NORMAL,4-6 Days,1
410405,BHIWANDI,ODA,4-7 Days,1
410406,BHIWANDI,ODA,4-7 Days,1
410500,PUNE,NORMAL,4-6 Days,1
410501,PUNE,NORMAL,4-6 Days,1
410502,PUNE,ODA,4-7 Days,1
410503,PUNE,ODA,4-7 Days,1
410504,BHIWANDI,ODA,4-7 Days,1
410505,PUNE,ODA,4-7 Days,1
410506,PUNE,NORMAL,4-6 Days,1
410507,PUNE,NORMAL,4-6 Days,1
410508,PUNE,NORMAL,4-6 Days,1
410509,PUNE,NORMAL,4-6 Days,1
410510,PUNE,NORMAL,4-6 Days,1
410511,PUNE,ODA,4-7 Days,1
410512,BHIWANDI,ODA,4-7 Days,1
410515,PUNE,ODA,4-7 Days,1
410516,PUNE,ODA,4-7 Days,1
410701,MUMBAI,NORMAL,4-6 Days,1
411001,PUNE,NORMAL,4-6 Days,1
411002,PUNE,NORMAL,4-6 Days,1
411003,PUNE,NORMAL,4-6 Days,1
411004,PUNE,NORMAL,4-6 Days,1
411005,PUNE,NORMAL,4-6 Days,1
411006,PUNE,NORMAL,4-6 Days,1
411007,PUNE,NORMAL,4-6 Days,1
411008,PUNE,NORMAL,4-6 Days,1
411009,PUNE,NORMAL,4-6 Days,1
411010,PUNE,NORMAL,4-6 Days,1
411011,PUNE,NORMAL,4-6 Days,1
411012,PUNE,NORMAL,4-6 Days,1
411013,PUNE,NORMAL,4-6 Days,1
411014,PUNE,NORMAL,4-6 Days,1
411015,PUNE,NORMAL,4-6 Days,1
411016,PUNE,NORMAL,4-6 Days,1
411017,PUNE,NORMAL,4-6 Days,1
411018,PUNE,NORMAL,4-6 Days,1
