Pincode,AreaName,Sarvice Type,Transit Time,Rate group
673017,KERALA,NORMAL,4-6 Days,1
673018,KERALA,NORMAL,4-6 Days,1
673019,KERALA,NORMAL,4-6 Days,1
673020,KERALA,NORMAL,4-6 Days,1
673021,KERALA,NORMAL,4-6 Days,1
673023,KERALA,NORMAL,4-6 Days,1
673024,KERALA,NORMAL,4-6 Days,1
673025,KERALA,NORMAL,4-6 Days,1
673026,KERALA,NORMAL,4-6 Days,1
673027,KERALA,NORMAL,4-6 Days,1
673028,KERALA,NORMAL,4-6 Days,1
673029,KERALA,NORMAL,4-6 Days,1
673031,KERALA,ODA,4-7 Days,1
673032,KERALA,NORMAL,4-6 Days,1
673101,KERALA,ODA,4-7 Days,1
673102,KERALA,ODA,4-7 Days,1
673103,KERALA,ODA,4-7 Days,1
673104,KERALA,ODA,4-7 Days,1
673105,KERALA,ODA,4-7 Days,1
673106,KERALA,ODA,4-7 Days,1
673109,KERALA,ODA,4-7 Days,1
673112,KERALA,ODA,4-7 Days,1
673121,KERALA,ODA,4-7 Days,1
673122,KERALA,ODA,4-7 Days,1
673123,KERALA,ODA,4-7 Days,1
673124,KERALA,ODA,4-7 Days,1
673301,KERALA,ODA,4-7 Days,1
673302,KERALA,ODA,4-7 Days,1
673303,KERALA,ODA,4-7 Days,1
673304,KERALA,ODA,4-7 Days,1
673305,KERALA,ODA,4-7 Days,1
673306,KERALA,ODA,4-7 Days,1
673307,KERALA,ODA,4-7 Days,1
673308,KERALA,ODA,4-7 Days,1
673309,KERALA,ODA,4-7 Days,1
673310,KERALA,ODA,4-7 Days,1
673311,KERALA,ODA,4-7 Days,1
673312,KERALA,ODA,4-7 Days,1
673313,KERALA,ODA,4-7 Days,1
673314,KERALA,ODA,4-7 Days,1
673315,KERALA,ODA,4-7 Days,1
673316,KERALA,ODA,4-7 Days,1
673317,KERALA,ODA,4-7 Days,1
673318,KERALA,ODA,4-7 Days,1
673319,KERALA,ODA,4-7 Days,1
673320,KERALA,ODA,4-7 Days,1
673328,KERALA,ODA,4-7 Days,1
673501,KERALA,ODA,4-7 Days,1
673502,KERALA,ODA,4-7 Days,1
673503,KERALA,ODA,4-7 Days,1
673504,KERALA,ODA,4-7 Days,1
673505,KERALA,ODA,4-7 Days,1
673506,KERALA,ODA,4-7 Days,1
673507,KERALA,ODA,4-7 Days,1
673508,KERALA,ODA,4-7 Days,1
673509,KERALA,ODA,4-7 Days,1
673513,KERALA,ODA,4-7 Days,1
673515,KERALA,ODA,4-7 Days,1
673517,KERALA,ODA,4-7 Days,1
673521,KERALA,ODA,4-7 Days,1
673522,KERALA,ODA,4-7 Days,1
673523,KERALA,ODA,4-7 Days,1
