Pincode,AreaName,Sarvice Type,Transit Time,Rate group
581384,HUBLI,ODA,5-8 Days,1
581389,HUBLI,ODA,5-8 Days,1
581395,HUBLI,ODA,5-8 Days,1
581396,HUBLI,ODA,5-8 Days,1
581400,HUBLI,ODA,5-8 Days,1
581401,HUBLI,ODA,5-8 Days,1
581402,HUBLI,ODA,5-8 Days,1
581403,HUBLI,ODA,5-8 Days,1
581404,HUBLI,ODA,5-8 Days,1
581411,HUBLI,ODA,5-8 Days,1
581412,HUBLI,ODA,5-8 Days,1
581421,HUBLI,ODA,5-8 Days,1
581423,HUBLI,ODA,5-8 Days,1
581426,HUBLI,ODA,5-8 Days,1
581440,HUBLI,ODA,5-8 Days,1
581450,HUBLI,ODA,5-8 Days,1
581451,HUBLI,ODA,5-8 Days,1
582101,HUBLI,ODA,5-8 Days,1
582102,HUBLI,ODA,5-8 Days,1
582103,HUBLI,ODA,5-8 Days,1
582106,HUBLI,ODA,5-8 Days,1
582108,HUBLI,ODA,5-8 Days,1
582111,HUBLI,ODA,5-8 Days,1
582112,HUBLI,ODA,5-8 Days,1
582113,HUBLI,ODA,5-8 Days,1
582114,HUBLI,ODA,5-8 Days,1
582115,HUBLI,ODA,5-8 Days,1
582116,HUBLI,ODA,5-8 Days,1
582117,HUBLI,ODA,5-8 Days,1
582118,HUBLI,ODA,5-8 Days,1
582119,HUBLI,ODA,5-8 Days,1
582120,HUBLI,ODA,5-8 Days,1
582201,HUBLI,ODA,5-8 Days,1
582203,HUBLI,ODA,5-8 Days,1
582204,HUBLI,ODA,5-8 Days,1
582205,HUBLI,ODA,5-8 Days,1
582206,HUBLI,ODA,5-8 Days,1
582207,HUBLI,ODA,5-8 Days,1
582208,HUBLI,ODA,5-8 Days,1
582209,HUBLI,ODA,5-8 Days,1
582210,HUBLI,ODA,5-8 Days,1
582211,HUBLI,ODA,5-8 Days,1
582215,KARNATAKA,ODA,5-7 Days,1
582216,HUBLI,ODA,5-8 Days,1
582217,HUBLI,ODA,5-8 Days,1
582218,HUBLI,ODA,5-8 Days,1
582221,HUBLI,ODA,5-8 Days,1
582227,HUBLI,ODA,5-8 Days,1
582229,HUBLI,ODA,5-8 Days,1
582235,HUBLI,ODA,5-8 Days,1
582237,KARNATAKA,ODA,5-8 Days,1
582241,HUBLI,ODA,5-8 Days,1
583101,HUBLI,ODA,5-8 Days,1
583102,HUBLI,ODA,5-8 Days,1
583103,HUBLI,ODA,5-8 Days,1
583104,HUBLI,ODA,5-8 Days,1
583105,HUBLI,ODA,5-8 Days,1
583106,HUBLI,ODA,5-8 Days,1
583107,HUBLI,ODA,5-8 Days,1
583108,HUBLI,ODA,5-8 Days,1
583109,HUBLI,ODA,5-8 Days,1
583110,HUBLI,ODA,5-8 Days,1
583111,HUBLI,ODA,5-8 Days,1
583112,HUBLI,ODA,5-8 Days,1
583113,HUBLI,ODA,5-8 Days,1
583114,HUBLI,ODA,5-8 Days,1
583115,HUBLI,ODA,5-8 Days,1
583116,HUBLI,ODA,5-8 Days,1
583117,HUBLI,ODA,5-8 Days,1
583118,HUBLI,ODA,5-8 Days,1
583119,HUBLI,ODA,5-8 Days,1
583120,HUBLI,ODA,5-8 Days,1
583121,HUBLI,ODA,5-8 Days,1
583122,HUBLI,ODA,5-8 Days,1
583123,HUBLI,ODA,5-8 Days,1
583124,HUBLI,ODA,5-8 Days,1
