Pincode,AreaName,Sarvice Type,Transit Time,Rate group
689543,KERALA,ODA,5-8 Days,1
689544,KERALA,ODA,5-8 Days,1
689545,KERALA,ODA,5-8 Days,1
689546,KERALA,ODA,5-8 Days,1
689547,KERALA,ODA,5-8 Days,1
689548,KERALA,ODA,5-8 Days,1
689549,KERALA,ODA,5-8 Days,1
689550,KERALA,ODA,5-8 Days,1
689551,KERALA,ODA,5-8 Days,1
689571,KERALA,ODA,6-8 Days,1
689572,KERALA,ODA,6-8 Days,1
689573,KERALA,ODA,6-8 Days,1
689581,KERALA,ODA,5-8 Days,1
689582,KERALA,ODA,5-8 Days,1
689583,KERALA,ODA,5-8 Days,1
689584,KERALA,ODA,5-8 Days,1
689585,KERALA,ODA,5-8 Days,1
689586,KERALA,ODA,5-8 Days,1
689587,KERALA,ODA,5-8 Days,1
689588,KERALA,ODA,5-8 Days,1
689589,KERALA,ODA,5-8 Days,1
689590,KERALA,ODA,6-8 Days,1
689591,KERALA,ODA,5-8 Days,1
689592,KERALA,ODA,5-8 Days,1
689594,KERALA,ODA,5-8 Days,1
689595,KERALA,ODA,6-8 Days,1
689602,KERALA,ODA,5-8 Days,1
689611,KERALA,ODA,5-8 Days,1
689612,KERALA,ODA,5-8 Days,1
689613,KERALA,ODA,5-8 Days,1
689614,KERALA,ODA,5-8 Days,1
689615,KERALA,ODA,5-8 Days,1
689621,KERALA,ODA,6-8 Days,1
689622,KERALA,ODA,5-7 Days,1
689624,KERALA,ODA,5-8 Days,1
689625,KERALA,ODA,5-8 Days,1
689626,KERALA,ODA,6-8 Days,1
689627,KERALA,ODA,6-8 Days,1
689641,KERALA,ODA,5-8 Days,1
689642,KERALA,ODA,5-8 Days,1
689643,KERALA,ODA,5-8 Days,1
689644,KERALA,ODA,5-8 Days,1
689645,KERALA,ODA,5-8 Days,1
689646,KERALA,ODA,5-8 Days,1
689647,KERALA,ODA,5-8 Days,1
689648,KERALA,ODA,5-8 Days,1
689649,KERALA,ODA,5-8 Days,1
689650,KERALA,ODA,5-8 Days,1
689652,KERALA,ODA,5-8 Days,1
689653,KERALA,ODA,5-8 Days,1
689654,KERALA,ODA,5-8 Days,1
689656,KERALA,ODA,5-8 Days,1
689661,KERALA,ODA,5-8 Days,1
689662,KERALA,ODA,5-7 Days,1
689663,KERALA,ODA,5-7 Days,1
689664,KERALA,ODA,5-7 Days,1
689666,KERALA,ODA,5-8 Days,1
689667,KERALA,ODA,5-8 Days,1
689668,KERALA,ODA,5-8 Days,1
689671,KERALA,ODA,5-8 Days,1
689672,KERALA,ODA,5-8 Days,1
689673,KERALA,ODA,5-8 Days,1
689674,KERALA,ODA,5-7 Days,1
689675,KERALA,ODA,5-8 Days,1
689676,KERALA,ODA,5-8 Days,1
689677,KERALA,ODA,5-8 Days,1
689678,KERALA,ODA,5-8 Days,1
689691,KERALA,ODA,5-8 Days,1
689692,KERALA,ODA,5-7 Days,1
689693,KERALA,ODA,5-7 Days,1
689694,KERALA,ODA,5-8 Days,1
689695,KERALA,ODA,5-7 Days,1
689696,KERALA,ODA,5-7 Days,1
689698,KERALA,ODA,5-7 Days,1
689699,KERALA,ODA,5-8 Days,1
689711,KERALA,ODA,5-7 Days,1
689713,KERALA,ODA,5-8 Days,1
690101,KERALA,ODA,6-8 Days,1
690102,KERALA,ODA,6-8 Days,1
690103,KERALA,ODA,6-8 Days,1
690104,KERALA,ODA,6-8 Days,1
690105,KERALA,ODA,6-8 Days,1
690106,KERALA,ODA,6-8 Days,1
690107,KERALA,ODA,6-8 Days,1
690108,KERALA,ODA,6-8 Days,1
690110,KERALA,ODA,6-8 Days,1
690501,KERALA,ODA,6-8 Days,1
690502,KERALA,ODA,6-8 Days,1
690503,KERALA,ODA,6-8 Days,1
690504,KERALA,ODA,6-8 Days,1
690505,KERALA,ODA,6-8 Days,1
690506,KERALA,ODA,6-8 Days,1
690507,KERALA,ODA,6-8 Days,1
690508,KERALA,ODA,6-8 Days,1
690510,KERALA,ODA,6-8 Days,1
690511,KERALA,ODA,5-7 Days,1
690512,KERALA,ODA,6-8 Days,1
690513,KERALA,ODA,6-8 Days,1
690514,KERALA,ODA,6-8 Days,1
690515,KERALA,ODA,6-8 Days,1
690516,KERALA,ODA,6-8 Days,1
690517,KERALA,ODA,6-8 Days,1
690518,KERALA,ODA,5-7 Days,1
690519,KERALA,ODA,6-8 Days,1
690520,KERALA,ODA,6-8 Days,1
690521,KERALA,ODA,6-8 Days,1
690522,KERALA,ODA,6-8 Days,1
690523,KERALA,ODA,5-7 Days,1
690524,KERALA,ODA,5-7 Days,1
690525,KERALA,ODA,6-8 Days,1
690526,KERALA,ODA,6-8 Days,1
690527,KERALA,ODA,6-8 Days,1
690528,KERALA,ODA,6-8 Days,1
690529,KERALA,ODA,6-8 Days,1
