Pincode,AreaName,Sarvice Type,Transit Time,Rate group
502291,HYDERABAD,ODA,5-7 Days,1
502292,SECUNDERABAD,ODA,5-7 Days,1
502293,SECUNDERABAD,ODA,5-7 Days,1
502294,SECUNDERABAD,ODA,5-7 Days,1
502296,CHENNAI,NORMAL,4-6 days,1
502297,SECUNDERABAD,ODA,5-7 Days,1
502299,SECUNDERABAD,ODA,5-7 Days,1
502300,SECUNDERABAD,ODA,5-7 Days,1
502301,HYDERABAD,ODA,5-7 Days,1
502302,SECUNDERABAD,ODA,5-7 Days,1
502303,SECUNDERABAD,ODA,5-7 Days,1
502304,SECUNDERABAD,ODA,5-7 Days,1
502305,SECUNDERABAD,ODA,5-7 Days,1
502306,HYDERABAD,ODA,5-7 Days,1
502307,CHENNAI,NORMAL,4-6 days,1
502308,SECUNDERABAD,ODA,5-7 Days,1
502310,SECUNDERABAD,ODA,5-7 Days,1
502311,SECUNDERABAD,ODA,5-7 Days,1
502312,SECUNDERABAD,ODA,5-7 Days,1
502313,SECUNDERABAD,NORMAL,4-6 days,1
502314,SECUNDERABAD,ODA,5-7 Days,1
502316,SECUNDERABAD,ODA,5-7 Days,1
502317,SECUNDERABAD,ODA,5-7 Days,1
502318,SECUNDERABAD,ODA,5-7 Days,1
502319,CHENNAI,NORMAL,4-6 days,1
502320,CHENNAI,ODA,5-7 Days,1
502321,SECUNDERABAD,ODA,5-7 Days,1
502323,SECUNDERABAD,ODA,5-7 Days,1
502324,SECUNDERABAD,ODA,5-7 Days,1
502325,SECUNDERABAD,NORMAL,4-6 days,1
502329,SECUNDERABAD,ODA,5-7 Days,1
502331,SECUNDERABAD,ODA,5-7 Days,1
502334,HYDERABAD,ODA,5-7 Days,1
502335,SECUNDERABAD,ODA,5-7 Days,1
502336,SECUNDERABAD,ODA,5-7 Days,1
502345,SECUNDERABAD,ODA,5-7 Days,1
502371,SECUNDERABAD,ODA,5-7 Days,1
502372,SECUNDERABAD,ODA,5-7 Days,1
502375,SECUNDERABAD,ODA,5-7 Days,1
502381,SECUNDERABAD,ODA,5-7 Days,1
503001,HYDERABAD,NORMAL,4-6 days,1
503002,HYDERABAD,NORMAL,4-6 days,1
503003,HYDERABAD,NORMAL,4-6 days,1
503101,SECUNDERABAD,ODA,5-7 Days,1
503102,SECUNDERABAD,ODA,5-7 Days,1
503108,SECUNDERABAD,ODA,5-7 Days,1
503110,SECUNDERABAD,ODA,5-7 Days,1
503111,SECUNDERABAD,ODA,5-7 Days,1
503114,SECUNDERABAD,ODA,5-7 Days,1
503120,SECUNDERABAD,ODA,5-7 Days,1
503122,SECUNDERABAD,ODA,5-7 Days,1
503123,SECUNDERABAD,ODA,5-7 Days,1
503124,SECUNDERABAD,ODA,5-7 Days,1
503125,SECUNDERABAD,ODA,5-7 Days,1
503144,SECUNDERABAD,ODA,5-7 Days,1
503145,SECUNDERABAD,NORMAL,4-6 days,1
503147,SECUNDERABAD,ODA,5-7 Days,1
503164,SECUNDERABAD,NORMAL,4-6 days,1
503165,SECUNDERABAD,ODA,5-7 Days,1
503174,SECUNDERABAD,NORMAL,4-6 days,1
503175,SECUNDERABAD,NORMAL,4-6 days,1
503178,HYDERABAD,ODA,5-7 Days,1
503180,SECUNDERABAD,ODA,5-7 Days,1
503185,SECUNDERABAD,ODA,5-7 Days,1
503186,SECUNDERABAD,NORMAL,4-6 days,1
503187,SECUNDERABAD,ODA,5-7 Days,1
503188,SECUNDERABAD,ODA,5-7 Days,1
503201,SECUNDERABAD,ODA,5-7 Days,1
503202,SECUNDERABAD,NORMAL,4-6 days,1
503206,SECUNDERABAD,NORMAL,4-6 days,1
503207,SECUNDERABAD,ODA,5-7 Days,1
503208,HYDERABAD,ODA,5-7 Days,1
503212,SECUNDERABAD,ODA,5-7 Days,1
503213,SECUNDERABAD,NORMAL,4-6 days,1
503217,SECUNDERABAD,ODA,5-7 Days,1
503218,SECUNDERABAD,ODA,5-7 Days,1
503219,SECUNDERABAD,ODA,5-7 Days,1
503224,SECUNDERABAD,ODA,5-7 Days,1
503225,SECUNDERABAD,ODA,5-7 Days,1
503228,HYDERABAD,NORMAL,4-6 days,1
503230,SECUNDERABAD,NORMAL,4-6 days,1
503234,SECUNDERABAD,ODA,5-7 Days,1
503235,SECUNDERABAD,ODA,5-7 Days,1
503236,HYDERABAD,ODA,5-7 Days,1
503245,SECUNDERABAD,ODA,5-7 Days,1
503246,SECUNDERABAD,ODA,5-7 Days,1
503301,SECUNDERABAD,ODA,5-7 Days,1
503302,SECUNDERABAD,ODA,5-7 Days,1
503305,SECUNDERABAD,ODA,5-7 Days,1
503306,SECUNDERABAD,ODA,5-7 Days,1
503307,SECUNDERABAD,ODA,5-7 Days,1
503308,SECUNDERABAD,ODA,5-7 Days,1
503309,SECUNDERABAD,ODA,5-7 Days,1
503310,SECUNDERABAD,ODA,5-7 Days,1
503311,SECUNDERABAD,ODA,5-7 Days,1
503312,SECUNDERABAD,ODA,5-7 Days,1
503313,HYDERABAD,ODA,5-7 Days,1
503321,SECUNDERABAD,ODA,5-7 Days,1
504001,HYDERABAD,ODA,5-7 Days,1
504002,HYDERABAD,ODA,5-7 Days,1
504011,SECUNDERABAD,ODA,5-7 Days,1
504101,HYDERABAD,ODA,5-7 Days,1
504102,HYDERABAD,ODA,5-7 Days,1
504103,HYDERABAD,ODA,5-7 Days,1
504104,HYDERABAD,ODA,5-7 Days,1
504105,HYDERABAD,ODA,5-7 Days,1
504106,HYDERABAD,ODA,5-7 Days,1
504109,SECUNDERABAD,ODA,5-7 Days,1
504109,HYDERABAD,ODA,5-7 Days,1
504110,HYDERABAD,ODA,5-7 Days,1
504201,SECUNDERABAD,ODA,4-7 Days,1
504202,SECUNDERABAD,ODA,5-7 Days,1
504202,HYDERABAD,ODA,5-7 Days,1
504203,HYDERABAD,ODA,5-7 Days,1
504204,SECUNDERABAD,ODA,4-7 Days,1
504205,SECUNDERABAD,ODA,4-7 Days,1
504206,SECUNDERABAD,ODA,4-7 Days,1
504207,SECUNDERABAD,ODA,4-7 Days,1
504208,HYDERABAD,ODA,4-7 Days,1
504209,SECUNDERABAD,ODA,4-7 Days,1
504214,SECUNDERABAD,ODA,4-7 Days,1
504215,SECUNDERABAD,ODA,4-7 Days,1
504216,SECUNDERABAD,ODA,4-7 Days,1
504218,SECUNDERABAD,ODA,4-7 Days,1
504219,SECUNDERABAD,ODA,4-7 Days,1
504220,SECUNDERABAD,ODA,4-7 Days,1
504231,SECUNDERABAD,ODA,4-7 Days,1
504232,SECUNDERABAD,ODA,4-7 Days,1
504251,SECUNDERABAD,ODA,4-7 Days,1
504272,SECUNDERABAD,ODA,4-7 Days,1
504273,SECUNDERABAD,ODA,4-7 Days,1
504292,SECUNDERABAD,ODA,4-7 Days,1
504293,SECUNDERABAD,ODA,4-7 Days,1
504294,SECUNDERABAD,ODA,4-7 Days,1
504295,SECUNDERABAD,ODA,4-7 Days,1
504296,SECUNDERABAD,ODA,4-7 Days,1
504297,SECUNDERABAD,ODA,4-7 Days,1
504299,SECUNDERABAD,ODA,4-7 Days,1
504301,SECUNDERABAD,ODA,4-7 Days,1
504302,SECUNDERABAD,ODA,4-7 Days,1
504303,SECUNDERABAD,ODA,4-7 Days,1
504304,SECUNDERABAD,ODA,4-7 Days,1
504306,HYDERABAD,ODA,5-7 Days,1
504307,HYDERABAD,ODA,5-7 Days,1
504308,HYDERABAD,ODA,5-7 Days,1
504309,HYDERABAD,ODA,5-7 Days,1
504310,SECUNDERABAD,ODA,5-7 Days,1
504310,HYDERABAD,ODA,5-7 Days,1
504311,HYDERABAD,ODA,5-7 Days,1
504312,HYDERABAD,ODA,5-7 Days,1
504313,HYDERABAD,ODA,5-7 Days,1
504323,HYDERABAD,ODA,5-7 Days,1
504323,SECUNDERABAD,ODA,5-7 Days,1
504330,HYDERABAD,ODA,5-7 Days,1
504346,HYDERABAD,ODA,5-7 Days,1
504468,SECUNDERABAD,ODA,5-7 Days,1
505001,HYDERABAD,NORMAL,4-6 days,1
505002,HYDERABAD,ODA,4-7 Days,1
