Pincode,AreaName,Sarvice Type,Transit Time,Rate group
534447,SECUNDERABAD,ODA,6-8 Days,1
534448,SECUNDERABAD,ODA,6-8 Days,1
534449,SECUNDERABAD,ODA,6-8 Days,1
534450,SECUNDERABAD,ODA,6-8 Days,1
534451,SECUNDERABAD,ODA,6-8 Days,1
534452,KAKINADA,ODA,6-8 Days,1
534456,SECUNDERABAD,ODA,6-8 Days,1
534460,SECUNDERABAD,ODA,6-8 Days,1
534461,SECUNDERABAD,ODA,6-8 Days,1
534462,SECUNDERABAD,ODA,6-8 Days,1
534467,SECUNDERABAD,ODA,6-8 Days,1
534469,SECUNDERABAD,ODA,6-8 Days,1
534475,SECUNDERABAD,ODA,6-8 Days,1
534481,SECUNDERABAD,ODA,6-8 Days,1
535001,VIZAG,ODA,5-7 Days,1
535002,VIZAG,ODA,5-7 Days,1
535003,VIZAG,ODA,5-7 Days,1
535004,SECUNDERABAD,ODA,5-7 Days,1
535006,VIZAG,ODA,5-7 Days,1
535007,VIZAG,ODA,5-7 Days,1
535016,VIZAG,NORMAL,5-7 Days,1
535148,VIZAG,ODA,5-7 Days,1
535160,VIZAG,ODA,5-7 Days,1
535161,SECUNDERABAD,ODA,5-7 Days,1
535183,SECUNDERABAD,ODA,5-7 Days,1
535202,VIZAG,ODA,5-7 Days,1
535204,VIJAYAWADA,NORMAL,6-7 Days,1
535214,SECUNDERABAD,ODA,5-7 Days,1
535216,SECUNDERABAD,ODA,5-7 Days,1
535217,SECUNDERABAD,ODA,5-7 Days,1
535218,SECUNDERABAD,ODA,5-7 Days,1
535270,VIZAG,ODA,5-7 Days,1
535273,SECUNDERABAD,ODA,5-7 Days,1
535280,SECUNDERABAD,ODA,5-7 Days,1
535291,VIZAG,ODA,5-7 Days,1
535521,SECUNDERABAD,ODA,5-7 Days,1
535522,SECUNDERABAD,ODA,5-7 Days,1
535525,SECUNDERABAD,ODA,5-7 Days,1
535527,SECUNDERABAD,ODA,5-7 Days,1
535534,SECUNDERABAD,ODA,5-7 Days,1
535547,SECUNDERABAD,ODA,5-7 Days,1
535557,SECUNDERABAD,ODA,5-7 Days,1
535558,SECUNDERABAD,ODA,5-7 Days,1
535573,SECUNDERABAD,ODA,5-7 Days,1
535579,SECUNDERABAD,ODA,5-7 Days,1
535580,SECUNDERABAD,ODA,5-7 Days,1
535593,SECUNDERABAD,ODA,5-7 Days,1
560001,BANGALORE,NORMAL,4-6 days,1
560002,BANGALORE,NORMAL,5-7 days,1
560003,BANGALORE,NORMAL,4-6 days,1
560004,BANGALORE,NORMAL,5-7 days,1
560005,BANGALORE,NORMAL,4-6 days,1
560006,BANGALORE,NORMAL,4-6 days,1
560007,BANGALORE,NORMAL,4-6 days,1
560008,BANGALORE,NORMAL,4-6 days,1
560009,BANGALORE,NORMAL,5-7 days,1
560010,BANGALORE,NORMAL,4-6 days,1
560011,BANGALORE,NORMAL,4-6 days,1
560012,BANGALORE,NORMAL,4-6 days,1
560013,BANGALORE,NORMAL,4-6 days,1
560014,BANGALORE,NORMAL,4-6 days,1
560015,BANGALORE,NORMAL,4-6 days,1
560016,BANGALORE,NORMAL,4-6 days,1
560017,BANGALORE,NORMAL,4-6 days,1
560018,BANGALORE,NORMAL,5-7 days,1
560019,BANGALORE,NORMAL,5-7 days,1
560020,BANGALORE,NORMAL,4-6 days,1
560021,BANGALORE,NORMAL,4-6 days,1
560022,BANGALORE,NORMAL,4-6 days,1
560023,BANGALORE,NORMAL,5-7 days,1
560024,BANGALORE,NORMAL,4-6 days,1
560025,BANGALORE,NORMAL,4-6 days,1
560026,BANGALORE,NORMAL,5-7 days,1
560027,BANGALORE,NORMAL,4-6 days,1
560028,BANGALORE,NORMAL,5-7 days,1
560029,BANGALORE,NORMAL,4-6 days,1
560030,BANGALORE,NORMAL,4-6 days,1
560031,BANGALORE,NORMAL,4-6 days,1
560032,BANGALORE,NORMAL,4-6 days,1
560033,BANGALORE,NORMAL,4-6 days,1
560034,BANGALORE,NORMAL,4-6 days,1
560035,BANGALORE,NORMAL,4-6 days,1
560036,BANGALORE,NORMAL,4-6 days,1
560037,BANGALORE,NORMAL,4-6 days,1
560038,BANGALORE,NORMAL,4-6 days,1
560039,BANGALORE,NORMAL,5-7 days,1
560040,BANGALORE,NORMAL,4-6 days,1
560041,BANGALORE,NORMAL,4-6 days,1
560042,BANGALORE,NORMAL,4-6 days,1
560043,BANGALORE,NORMAL,4-6 days,1
560044,BANGALORE,NORMAL,4-6 days,1
560045,BANGALORE,NORMAL,4-6 days,1
560046,BANGALORE,NORMAL,4-6 days,1
560047,BANGALORE,NORMAL,4-6 days,1
560048,BANGALORE,NORMAL,4-6 days,1
560049,BANGALORE,NORMAL,4-6 days,1
560050,BANGALORE,NORMAL,5-7 days,1
560051,BANGALORE,NORMAL,4-6 days,1
560052,BANGALORE,NORMAL,4-6 days,1
560053,BANGALORE,NORMAL,5-7 days,1
560054,BANGALORE,NORMAL,4-6 days,1
560055,BANGALORE,NORMAL,4-6 days,1
560056,BANGALORE,NORMAL,5-7 days,1
560057,BANGALORE,NORMAL,4-6 days,1
560058,BANGALORE,NORMAL,4-6 days,1
560059,BANGALORE,NORMAL,5-7 days,1
560060,BANGALORE,NORMAL,5-7 days,1
560061,BANGALORE,NORMAL,5-7 days,1
560062,BANGALORE,NORMAL,5-7 days,1
560063,BANGALORE,NORMAL,4-6 days,1
560064,BANGALORE,NORMAL,4-6 days,1
560065,BANGALORE,NORMAL,4-6 days,1
560066,BANGALORE,NORMAL,4-6 days,1
560067,BANGALORE,NORMAL,4-6 days,1
560068,BANGALORE,NORMAL,4-6 days,1
560069,BANGALORE,NORMAL,4-6 days,1
560070,BANGALORE,NORMAL,5-7 days,1
560071,BANGALORE,NORMAL,4-6 days,1
560072,BANGALORE,NORMAL,4-6 days,1
560073,BANGALORE,NORMAL,4-6 days,1
560074,BANGALORE,ODA,5-7 days,1
560075,BANGALORE,NORMAL,4-6 days,1
560076,BANGALORE,NORMAL,4-6 days,1
560077,BANGALORE,NORMAL,4-6 days,1
560078,BANGALORE,NORMAL,4-6 days,1
560079,BANGALORE,NORMAL,4-6 days,1
560080,BANGALORE,NORMAL,4-6 days,1
560081,BANGALORE,NORMAL,4-6 days,1
560082,BANGALORE,NORMAL,5-7 days,1
560083,BANGALORE,NORMAL,4-6 days,1
560084,BANGALORE,NORMAL,4-6 days,1
560085,BANGALORE,NORMAL,5-7 days,1
560086,BANGALORE,NORMAL,4-6 days,1
560087,BANGALORE,NORMAL,4-6 days,1
560088,BANGALORE,NORMAL,4-6 days,1
560089,BANGALORE,NORMAL,4-6 days,1
560090,BANGALORE,NORMAL,4-6 days,1
560091,BANGALORE,NORMAL,4-6 days,1
560092,BANGALORE,NORMAL,4-6 days,1
560093,BANGALORE,NORMAL,4-6 days,1
560094,BANGALORE,NORMAL,4-6 days,1
560095,BANGALORE,NORMAL,4-6 days,1
560096,BANGALORE,NORMAL,4-6 days,1
560097,BANGALORE,NORMAL,4-6 days,1
560098,BANGALORE,NORMAL,5-7 days,1
560099,BANGALORE,NORMAL,4-6 days,1
560100,BANGALORE,NORMAL,4-6 days,1
560102,BANGALORE,NORMAL,4-6 days,1
560103,BANGALORE,NORMAL,4-6 days,1
560106,BANGALORE,NORMAL,4-6 days,1
560300,BANGALORE,ODA,4-7 Days,1
561101,BANGALORE,ODA,4-7 Days,1
561201,BANGALORE,ODA,4-7 Days,1
561202,BANGALORE,ODA,4-7 Days,1
561203,BANGALORE,NORMAL,4-6 days,1
561204,BANGALORE,ODA,4-7 Days,1
561205,BANGALORE,ODA,4-7 Days,1
561206,BANGALORE,ODA,4-7 Days,1
561207,BANGALORE,ODA,4-7 Days,1
561208,BANGALORE,ODA,4-7 Days,1
561209,BANGALORE,ODA,4-7 Days,1
561210,BANGALORE,ODA,4-7 Days,1
561211,BANGALORE,ODA,4-7 Days,1
561212,BANGALORE,ODA,4-7 Days,1
561213,BANGALORE,ODA,4-7 Days,1
561215,MYSORE,ODA,5-7 days,1
561216,BANGALORE,ODA,4-7 Days,1
561221,BANGALORE,ODA,4-7 Days,1
561223,BANGALORE,ODA,4-7 Days,1
561227,MYSORE,ODA,5-7 days,1
562101,BANGALORE,ODA,4-7 Days,1
562102,BANGALORE,NORMAL,4-6 days,1
562103,BANGALORE,ODA,4-7 Days,1
562104,BANGALORE,ODA,4-7 Days,1
562105,BANGALORE,NORMAL,4-6 days,1
562106,BANGALORE,NORMAL,4-6 days,1
562107,BANGALORE,NORMAL,4-6 days,1
562108,BANGALORE,ODA,4-7 Days,1
562109,BANGALORE,ODA,5-7 days,1
562110,BANGALORE,ODA,4-7 Days,1
562111,BANGALORE,ODA,4-7 Days,1
562112,BANGALORE,ODA,5-7 days,1
562114,BANGALORE,NORMAL,4-6 days,1
562115,HUBLI,ODA,5-8 Days,1
562116,BANGALORE,ODA,4-7 Days,1
562117,BANGALORE,ODA,4-7 Days,1
562119,BANGALORE,ODA,4-7 Days,1
562120,BANGALORE,ODA,4-7 Days,1
562121,BANGALORE,ODA,4-7 Days,1
562122,BANGALORE,NORMAL,4-6 days,1
562123,BANGALORE,NORMAL,4-6 days,1
562124,KARNATAKA,ODA,5-8 Days,1
562125,BANGALORE,NORMAL,4-6 days,1
562126,BANGALORE,ODA,4-7 Days,1
562127,BANGALORE,ODA,4-7 Days,1
562128,BANGALORE,ODA,4-7 Days,1
562129,BANGALORE,ODA,4-7 Days,1
