Pincode,AreaName,Sarvice Type,Transit Time,Rate group
425324,MAHARASTRA,ODA,5-7 Days,1
425325,MAHARASTRA,ODA,5-7 Days,1
425326,MAHARASTRA,ODA,5-7 Days,1
425401,MAHARASTRA,ODA,5-8 Days,1
425402,MAHARASTRA,ODA,5-7 Days,1
425403,MAHARASTRA,ODA,5-8 Days,1
425404,MAHARASTRA,ODA,5-8 Days,1
425405,MAHARASTRA,ODA,5-8 Days,1
425406,MAHARASTRA,ODA,5-8 Days,1
425407,MAHARASTRA,ODA,5-8 Days,1
425408,MAHARASTRA,ODA,5-8 Days,1
425409,MAHARASTRA,ODA,5-8 Days,1
425410,MAHARASTRA,ODA,5-8 Days,1
425411,MAHARASTRA,ODA,5-8 Days,1
425412,MAHARASTRA,ODA,5-8 Days,1
425413,MAHARASTRA,ODA,5-7 Days,1
425415,MAHARASTRA,ODA,5-8 Days,1
425416,MAHARASTRA,ODA,5-8 Days,1
425417,MAHARASTRA,ODA,5-8 Days,1
425419,MAHARASTRA,ODA,5-8 Days,1
425421,MAHARASTRA,ODA,5-8 Days,1
425422,MAHARASTRA,ODA,5-8 Days,1
425424,MAHARASTRA,ODA,5-8 Days,1
425427,MAHARASTRA,ODA,5-8 Days,1
425430,MAHARASTRA,ODA,5-7 Days,1
425432,MAHARASTRA,ODA,5-7 Days,1
425433,MAHARASTRA,ODA,5-7 Days,1
425434,MAHARASTRA,ODA,5-7 Days,1
425437,MAHARASTRA,ODA,5-7 Days,1
425438,MAHARASTRA,ODA,5-8 Days,1
425502,MAHARASTRA,ODA,5-7 Days,1
425503,MAHARASTRA,ODA,5-7 Days,1
425504,MAHARASTRA,ODA,5-7 Days,1
425505,MAHARASTRA,ODA,5-7 Days,1
425506,MAHARASTRA,ODA,5-7 Days,1
425507,MAHARASTRA,ODA,5-7 Days,1
425508,MAHARASTRA,ODA,5-7 Days,1
425509,MAHARASTRA,ODA,5-7 Days,1
425511,MAHARASTRA,ODA,5-7 Days,1
425512,MAHARASTRA,ODA,5-7 Days,1
425515,MAHARASTRA,ODA,5-7 Days,1
425516,MAHARASTRA,ODA,5-7 Days,1
425517,MAHARASTRA,ODA,5-7 Days,1
