Pincode,AreaName,Sarvice Type,Transit Time,Rate group
285187,UTTAR PRADESH,ODA,2-4 Days,1
285201,UTTAR PRADESH,ODA,2-5 Days,1
285202,UTTAR PRADESH,ODA,2-5 Days,1
285203,UTTAR PRADESH,ODA,2-5 Days,1
285204,UTTAR PRADESH,ODA,2-5 Days,1
285205,UTTAR PRADESH,ODA,2-5 Days,1
285206,UTTAR PRADESH,ODA,2-5 Days,1
285223,UTTAR PRADESH,ODA,2-5 Days,1
301001,RAJASTHAN,NORMAL,2-3 Days,1
301002,RAJASTHAN,NORMAL,2-3 Days,1
301018,RAJASTHAN,ODA,3-5 Days,1
301019,GURGAON,NORMAL,1-3 Days,1
301020,RAJASTHAN,NORMAL,2-3 Days,1
301021,RAJASTHAN,ODA,3-5 Days,1
301022,RAJASTHAN,ODA,3-5 Days,1
301023,RAJASTHAN,NORMAL,2-3 Days,1
301024,RAJASTHAN,ODA,3-5 Days,1
301025,RAJASTHAN,ODA,3-5 Days,1
301026,RAJASTHAN,ODA,3-5 Days,1
301027,RAJASTHAN,ODA,2-4 Days,1
301028,RAJASTHAN,ODA,3-5 Days,1
301030,RAJASTHAN,NORMAL,2-3 Days,1
301035,RAJASTHAN,ODA,3-5 Days,1
301401,RAJASTHAN,ODA,3-5 Days,1
301402,RAJASTHAN,ODA,2-4 Days,1
301403,RAJASTHAN,ODA,3-5 Days,1
301404,RAJASTHAN,ODA,3-5 Days,1
301405,RAJASTHAN,ODA,3-5 Days,1
301406,RAJASTHAN,ODA,3-5 Days,1
301407,RAJASTHAN,ODA,3-5 Days,1
301408,RAJASTHAN,ODA,3-5 Days,1
301409,RAJASTHAN,ODA,3-5 Days,1
301410,RAJASTHAN,ODA,3-5 Days,1
301412,RAJASTHAN,ODA,2-4 Days,1
301413,RAJASTHAN,ODA,3-5 Days,1
301414,RAJASTHAN,ODA,3-5 Days,1
301415,RAJASTHAN,ODA,3-5 Days,1
301416,RAJASTHAN,ODA,3-5 Days,1
301427,RAJASTHAN,ODA,3-5 Days,1
301604,RAJASTHAN,ODA,3-5 Days,1
301701,RAJASTHAN,NORMAL,2-3 Days,1
301702,RAJASTHAN,ODA,3-5 Days,1
301703,RAJASTHAN,ODA,2-4 Days,1
301704,RAJASTHAN,ODA,2-4 Days,1
301705,RAJASTHAN,NORMAL,2-3 Days,1
301706,RAJASTHAN,NORMAL,2-3 Days,1
301707,GURGAON,ODA,1-3 Days,1
301708,RAJASTHAN,ODA,3-5 Days,1
301709,RAJASTHAN,ODA,2-4 Days,1
301712,RAJASTHAN,ODA,3-5 Days,1
301713,RAJASTHAN,ODA,2-4 Days,1
301714,RAJASTHAN,ODA,2-4 Days,1
302001,JAIPUR,NORMAL,2-3 Days,1
302002,JAIPUR,NORMAL,2-3 Days,1
302003,JAIPUR,NORMAL,2-3 Days,1
302004,JAIPUR,NORMAL,2-3 Days,1
302005,JAIPUR,NORMAL,2-3 Days,1
302006,JAIPUR,NORMAL,2-3 Days,1
302007,JAIPUR,NORMAL,2-3 Days,1
302008,JAIPUR,NORMAL,2-3 Days,1
302009,JAIPUR,NORMAL,2-3 Days,1
302010,JAIPUR,NORMAL,2-3 Days,1
302011,JAIPUR,NORMAL,2-3 Days,1
302012,JAIPUR,NORMAL,2-3 Days,1
302013,JAIPUR,NORMAL,2-3 Days,1
302014,JAIPUR,NORMAL,2-3 Days,1
302015,JAIPUR,NORMAL,2-3 Days,1
302016,JAIPUR,NORMAL,2-3 Days,1
302017,JAIPUR,NORMAL,2-3 Days,1
302018,JAIPUR,NORMAL,2-3 Days,1
302019,JAIPUR,NORMAL,2-3 Days,1
302020,JAIPUR,NORMAL,2-3 Days,1
302021,JAIPUR,NORMAL,2-3 Days,1
302022,JAIPUR,NORMAL,2-3 Days,1
302023,JAIPUR,NORMAL,2-3 Days,1
302024,JAIPUR,NORMAL,2-3 Days,1
302025,JAIPUR,NORMAL,2-3 Days,1
302026,JAIPUR,ODA,2-4 Days,1
302028,JAIPUR,ODA,2-4 Days,1
302029,JAIPUR,ODA,2-4 Days,1
302031,JAIPUR,ODA,2-4 Days,1
302032,JAIPUR,NORMAL,2-3 Days,1
302033,JAIPUR,NORMAL,2-3 Days,1
302034,JAIPUR,ODA,2-4 Days,1
302036,JAIPUR,ODA,2-4 Days,1
302037,JAIPUR,ODA,2-4 Days,1
302039,JAIPUR,NORMAL,2-3 Days,1
302040,JAIPUR,ODA,2-4 Days,1
303001,JAIPUR,ODA,2-4 Days,1
303002,JAIPUR,ODA,2-4 Days,1
303003,JAIPUR,ODA,2-4 Days,1
303004,JAIPUR,ODA,2-4 Days,1
303006,JAIPUR,ODA,2-4 Days,1
303007,JAIPUR,ODA,2-4 Days,1
303008,JAIPUR,ODA,2-4 Days,1
303009,JAIPUR,ODA,2-4 Days,1
303010,JAIPUR,ODA,2-4 Days,1
303012,JAIPUR,ODA,2-4 Days,1
303101,JAIPUR,ODA,2-4 Days,1
303102,JAIPUR,ODA,2-4 Days,1
303103,JAIPUR,ODA,2-4 Days,1
