Pincode,AreaName,Sarvice Type,Transit Time,Rate group
173214,Baddi,NORMAL,2-3 Days,1
173220,PARWANOO,NORMAL,5-7 Days,1
173223,PARWANOO,ODA,5-7 Days,1
173225,PARWANOO,ODA,5-7 Days,1
173229,PARWANOO,ODA,5-7 Days,1
173230,PARWANOO,ODA,5-7 Days,1
174101,HIMACHAL PRADESH,NORMAL,4-5 Days,1
174102,Baddi,ODA,4-5 Days,1
174103,Baddi,NORMAL,2-3 Days,1
174301,CHANDIGARH,NORMAL,2-3 Days,1
174302,CHANDIGARH,NORMAL,2-3 Days,1
174303,CHANDIGARH,NORMAL,2-3 Days,1
174306,CHANDIGARH,NORMAL,2-3 Days,1
174315,CHANDIGARH,NORMAL,2-3 Days,1
175001,CHANDIGARH,ODA,2-4 Days,1
175021,CHANDIGARH,ODA,2-4 Days,1
175126,CHANDIGARH,ODA,2-4 Days,1
175131,CHANDIGARH,ODA,2-4 Days,1
175215,CHANDIGARH,ODA,2-4 Days,1
176001,CHANDIGARH,ODA,2-4 Days,1
176002,CHANDIGARH,ODA,2-4 Days,1
176209,HIMACHAL PRADESH,ODA,2-4 Days,1
176216,CHANDIGARH,ODA,2-4 Days,1
176601,CHANDIGARH,NORMAL,2-3 Days,1
177031,CHANDIGARH,NORMAL,2-3 Days,1
177101,CHANDIGARH,ODA,2-4 Days,1
177110,CHANDIGARH,ODA,2-4 Days,1
177201,CHANDIGARH,ODA,2-4 Days,1
177202,CHANDIGARH,ODA,2-4 Days,1
177203,CHANDIGARH,ODA,2-4 Days,1
177204,CHANDIGARH,ODA,2-4 Days,1
177205,CHANDIGARH,ODA,2-4 Days,1
177206,CHANDIGARH,ODA,2-4 Days,1
177207,CHANDIGARH,NORMAL,2-3 Days,1
177208,PUNJAB,ODA,2-3 Days,1
177209,CHANDIGARH,NORMAL,2-3 Days,1
177210,CHANDIGARH,ODA,2-4 Days,1
177211,CHANDIGARH,ODA,2-4 Days,1
177212,CHANDIGARH,ODA,2-4 Days,1
177213,CHANDIGARH,ODA,2-4 Days,1
177215,CHANDIGARH,ODA,2-4 Days,1
177216,CHANDIGARH,NORMAL,2-3 Days,1
177217,CHANDIGARH,NORMAL,2-3 Days,1
177218,CHANDIGARH,NORMAL,2-3 Days,1
177219,CHANDIGARH,NORMAL,2-3 Days,1
177220,CHANDIGARH,ODA,2-4 Days,1
180001,JAMMU AND KASHMIR,NORMAL,4-6 Days,1
180002,JAMMU AND KASHMIR,NORMAL,4-6 Days,1
180003,JAMMU AND KASHMIR,NORMAL,4-6 Days,1
180004,JAMMU AND KASHMIR,NORMAL,4-6 Days,1
180005,JAMMU AND KASHMIR,NORMAL,4-6 Days,1
180006,JAMMU AND KASHMIR,NORMAL,4-6 Days,1
180007,JAMMU AND KASHMIR,NORMAL,4-6 Days,1
180008,JAMMU AND KASHMIR,NORMAL,4-6 Days,1
180009,JAMMU AND KASHMIR,NORMAL,4-6 Days,1
180010,JAMMU AND KASHMIR,NORMAL,4-6 Days,1
180011,JAMMU AND KASHMIR,NORMAL,4-6 Days,1
180012,JAMMU AND KASHMIR,ODA,4-6 Days,1
180013,JAMMU AND KASHMIR,NORMAL,4-6 Days,1
180015,JAMMU AND KASHMIR,NORMAL,4-6 Days,1
180016,JAMMU AND KASHMIR,NORMAL,4-6 Days,1
180019,JAMMU AND KASHMIR,ODA,4-6 Days,1
181101,JAMMU AND KASHMIR,NORMAL,4-6 Days,1
181102,JAMMU AND KASHMIR,ODA,4-6 Days,1
181104,JAMMU AND KASHMIR,ODA,4-6 Days,1
