Pincode,AreaName,Sarvice Type,Transit Time,Rate group
722103,WEST BENGAL,ODA,5-8 Days,1
722104,WEST BENGAL,ODA,5-8 Days,1
722105,WEST BENGAL,ODA,5-8 Days,1
722106,WEST BENGAL,ODA,5-8 Days,1
722107,WEST BENGAL,ODA,5-8 Days,1
722121,WEST BENGAL,ODA,5-8 Days,1
722122,WEST BENGAL,ODA,5-8 Days,1
722123,WEST BENGAL,ODA,5-8 Days,1
722124,WEST BENGAL,ODA,5-8 Days,1
722125,WEST BENGAL,ODA,5-8 Days,1
722126,WEST BENGAL,ODA,5-8 Days,1
722127,WEST BENGAL,ODA,5-8 Days,1
722128,WEST BENGAL,ODA,5-8 Days,1
722129,WEST BENGAL,ODA,5-8 Days,1
722130,WEST BENGAL,ODA,5-8 Days,1
722131,WEST BENGAL,ODA,5-8 Days,1
722132,WEST BENGAL,ODA,5-8 Days,1
722133,WEST BENGAL,ODA,5-8 Days,1
722134,WEST BENGAL,ODA,5-8 Days,1
722135,WEST BENGAL,ODA,5-8 Days,1
722136,WEST BENGAL,ODA,5-8 Days,1
722137,WEST BENGAL,ODA,5-8 Days,1
722138,WEST BENGAL,ODA,5-8 Days,1
722139,WEST BENGAL,ODA,5-8 Days,1
722140,WEST BENGAL,ODA,5-8 Days,1
722141,WEST BENGAL,ODA,5-8 Days,1
722142,WEST BENGAL,ODA,5-8 Days,1
722143,WEST BENGAL,ODA,5-8 Days,1
722144,WEST BENGAL,ODA,5-8 Days,1
722145,WEST BENGAL,ODA,5-8 Days,1
722146,WEST BENGAL,ODA,5-8 Days,1
722147,WEST BENGAL,ODA,5-8 Days,1
722148,WEST BENGAL,ODA,5-8 Days,1
722149,WEST BENGAL,ODA,5-8 Days,1
722150,WEST BENGAL,ODA,5-8 Days,1
722151,WEST BENGAL,ODA,5-8 Days,1
722152,WEST BENGAL,ODA,5-8 Days,1
722153,WEST BENGAL,ODA,5-8 Days,1
722154,WEST BENGAL,ODA,5-8 Days,1
722155,WEST BENGAL,ODA,5-8 Days,1
722156,WEST BENGAL,ODA,5-8 Days,1
722157,WEST BENGAL,ODA,5-8 Days,1
722158,WEST BENGAL,ODA,5-8 Days,1
722160,WEST BENGAL,ODA,5-8 Days,1
722201,WEST BENGAL,ODA,5-8 Days,1
722202,WEST BENGAL,ODA,5-8 Days,1
722203,WEST BENGAL,ODA,5-8 Days,1
722204,WEST BENGAL,ODA,5-8 Days,1
722205,WEST BENGAL,ODA,5-8 Days,1
722206,WEST BENGAL,ODA,5-8 Days,1
722207,WEST BENGAL,ODA,5-8 Days,1
722208,WEST BENGAL,ODA,5-8 Days,1
723101,WEST BENGAL,ODA,5-8 Days,1
723102,WEST BENGAL,ODA,5-8 Days,1
723103,WEST BENGAL,ODA,5-8 Days,1
723121,WEST BENGAL,ODA,5-8 Days,1
723126,WEST BENGAL,ODA,5-8 Days,1
723127,WEST BENGAL,ODA,5-8 Days,1
723128,WEST BENGAL,ODA,5-8 Days,1
