Pincode,AreaName,Sarvice Type,Transit Time,Rate group
518601,VIJAYAWADA,NORMAL,5-7 Days,1
518673,ANDHRA PRADESH,ODA,5-8 Days,1
518674,ANDHRA PRADESH,ODA,5-8 Days,1
518685,ANDHRA PRADESH,ODA,5-8 Days,1
520001,VIJAYAWADA,NORMAL,6-7 Days,1
520002,VIJAYAWADA,NORMAL,6-7 Days,1
520003,VIJAYAWADA,NORMAL,6-7 Days,1
520004,VIJAYAWADA,NORMAL,6-7 Days,1
520005,VIJAYAWADA,NORMAL,6-7 Days,1
520006,VIJAYAWADA,NORMAL,6-7 Days,1
520007,VIJAYAWADA,NORMAL,6-7 Days,1
520008,VIJAYAWADA,NORMAL,6-7 Days,1
520009,VIJAYAWADA,NORMAL,6-7 Days,1
520010,VIJAYAWADA,NORMAL,6-7 Days,1
520011,VIJAYAWADA,NORMAL,6-7 Days,1
520012,VIJAYAWADA,NORMAL,6-7 Days,1
520013,VIJAYAWADA,NORMAL,6-7 Days,1
520014,VIJAYAWADA,NORMAL,6-7 Days,1
520015,VIJAYAWADA,NORMAL,6-7 Days,1
520016,VIJAYAWADA,NORMAL,6-7 Days,1
521001,VIJAYAWADA,ODA,6-8 Days,1
521002,VIJAYAWADA,ODA,6-8 Days,1
521003,VIJAYAWADA,ODA,6-8 Days,1
521006,VIJAYAWADA,NORMAL,6-7 Days,1
521101,VIJAYAWADA,NORMAL,6-7 Days,1
521102,VIJAYAWADA,NORMAL,6-7 Days,1
521103,VIJAYAWADA,ODA,6-8 Days,1
521104,VIJAYAWADA,NORMAL,6-7 Days,1
521105,VIJAYAWADA,ODA,6-8 Days,1
521106,VIJAYAWADA,ODA,6-8 Days,1
521107,VIJAYAWADA,NORMAL,6-7 Days,1
521108,VIJAYAWADA,NORMAL,6-7 Days,1
521109,VIJAYAWADA,ODA,6-8 Days,1
521110,VIJAYAWADA,ODA,6-8 Days,1
521111,VIJAYAWADA,ODA,6-8 Days,1
521113,SECUNDERABAD,ODA,6-8 Days,1
521115,VIJAYAWADA,ODA,6-8 Days,1
521117,VIJAYAWADA,NORMAL,6-7 Days,1
521120,VIJAYAWADA,ODA,6-8 Days,1
521121,VIJAYAWADA,ODA,6-8 Days,1
521125,VIJAYAWADA,ODA,6-8 Days,1
521126,VIJAYAWADA,ODA,6-8 Days,1
521129,SECUNDERABAD,ODA,6-8 Days,1
521130,VIJAYAWADA,ODA,6-8 Days,1
521131,VIJAYAWADA,ODA,6-8 Days,1
521132,VIJAYAWADA,ODA,6-8 Days,1
521133,VIJAYAWADA,ODA,6-8 Days,1
521134,VIJAYAWADA,ODA,6-8 Days,1
521135,VIJAYAWADA,ODA,6-8 Days,1
521136,VIJAYAWADA,ODA,6-8 Days,1
521137,VIJAYAWADA,NORMAL,6-7 Days,1
521138,VIJAYAWADA,NORMAL,6-7 Days,1
521139,VIJAYAWADA,NORMAL,6-7 Days,1
521148,VIJAYAWADA,ODA,6-8 Days,1
521149,VIJAYAWADA,ODA,6-8 Days,1
521150,VIJAYAWADA,ODA,6-8 Days,1
521151,VIJAYAWADA,NORMAL,6-7 Days,1
521152,VIJAYAWADA,ODA,6-8 Days,1
521153,VIJAYAWADA,ODA,6-8 Days,1
521155,VIJAYAWADA,ODA,6-8 Days,1
521156,VIJAYAWADA,ODA,6-8 Days,1
521157,VIJAYAWADA,ODA,6-8 Days,1
521158,VIJAYAWADA,ODA,6-8 Days,1
521160,SECUNDERABAD,ODA,6-8 Days,1
521162,VIJAYAWADA,ODA,6-8 Days,1
521163,VIJAYAWADA,ODA,6-8 Days,1
521164,VIJAYAWADA,ODA,6-8 Days,1
521165,VIJAYAWADA,ODA,6-8 Days,1
521167,SECUNDERABAD,ODA,6-8 Days,1
521168,SECUNDERABAD,ODA,6-8 Days,1
521169,VIJAYAWADA,ODA,6-8 Days,1
521170,VIJAYAWADA,ODA,6-8 Days,1
521171,VIJAYAWADA,ODA,6-8 Days,1
521175,VIJAYAWADA,ODA,6-8 Days,1
521176,SECUNDERABAD,ODA,6-8 Days,1
521178,VIJAYAWADA,ODA,6-8 Days,1
521180,VIJAYAWADA,ODA,6-8 Days,1
521181,VIJAYAWADA,ODA,6-8 Days,1
521182,VIJAYAWADA,ODA,6-8 Days,1
521183,VIJAYAWADA,ODA,6-8 Days,1
521185,VIJAYAWADA,ODA,6-8 Days,1
521186,VIJAYAWADA,ODA,6-8 Days,1
521190,VIJAYAWADA,ODA,6-8 Days,1
521201,VIJAYAWADA,ODA,6-8 Days,1
521202,VIJAYAWADA,ODA,6-8 Days,1
521204,SECUNDERABAD,ODA,6-8 Days,1
521206,SECUNDERABAD,ODA,6-8 Days,1
521207,VIJAYAWADA,ODA,6-8 Days,1
521211,VIJAYAWADA,ODA,6-8 Days,1
521212,VIJAYAWADA,ODA,6-8 Days,1
521213,VIJAYAWADA,ODA,6-8 Days,1
521214,VIJAYAWADA,ODA,6-8 Days,1
521215,VIJAYAWADA,ODA,6-8 Days,1
521221,SECUNDERABAD,ODA,6-8 Days,1
521225,VIJAYAWADA,NORMAL,6-7 Days,1
521226,VIJAYAWADA,NORMAL,6-7 Days,1
521227,VIJAYAWADA,ODA,6-8 Days,1
521228,VIJAYAWADA,ODA,6-8 Days,1
521229,VIJAYAWADA,ODA,6-8 Days,1
521230,VIJAYAWADA,ODA,6-8 Days,1
521233,VIJAYAWADA,ODA,6-8 Days,1
521235,VIJAYAWADA,ODA,6-8 Days,1
521236,VIJAYAWADA,ODA,6-8 Days,1
521240,SECUNDERABAD,ODA,6-8 Days,1
521245,VIJAYAWADA,ODA,6-8 Days,1
521246,VIJAYAWADA,ODA,6-8 Days,1
521247,VIJAYAWADA,ODA,6-8 Days,1
521250,VIJAYAWADA,ODA,6-8 Days,1
521253,SECUNDERABAD,ODA,6-8 Days,1
521256,VIJAYAWADA,ODA,6-8 Days,1
521260,VIJAYAWADA,ODA,6-8 Days,1
521261,VIJAYAWADA,ODA,6-8 Days,1
521263,VIJAYAWADA,ODA,6-8 Days,1
521265,VIJAYAWADA,ODA,6-8 Days,1
521281,SECUNDERABAD,ODA,6-8 Days,1
521285,VIJAYAWADA,ODA,6-8 Days,1
521286,VIJAYAWADA,NORMAL,6-7 Days,1
521288,SECUNDERABAD,ODA,6-8 Days,1
521301,VIJAYAWADA,ODA,6-8 Days,1
521311,VIJAYAWADA,ODA,6-8 Days,1
521312,VIJAYAWADA,ODA,6-8 Days,1
521314,VIJAYAWADA,ODA,6-8 Days,1
521319,VIJAYAWADA,ODA,6-8 Days,1
521321,VIJAYAWADA,ODA,6-8 Days,1
521322,VIJAYAWADA,ODA,6-8 Days,1
521323,VIJAYAWADA,ODA,6-8 Days,1
521324,VIJAYAWADA,ODA,6-8 Days,1
521325,VIJAYAWADA,ODA,6-8 Days,1
521326,VIJAYAWADA,NORMAL,6-7 Days,1
521327,VIJAYAWADA,ODA,6-8 Days,1
521328,VIJAYAWADA,ODA,6-8 Days,1
521329,VIJAYAWADA,ODA,6-8 Days,1
521330,VIJAYAWADA,ODA,6-8 Days,1
521331,VIJAYAWADA,ODA,6-8 Days,1
521332,VIJAYAWADA,ODA,6-8 Days,1
521333,VIJAYAWADA,ODA,6-8 Days,1
521338,SECUNDERABAD,ODA,6-8 Days,1
521340,VIJAYAWADA,ODA,6-8 Days,1
521341,VIJAYAWADA,ODA,6-8 Days,1
521342,VIJAYAWADA,ODA,6-8 Days,1
521343,VIJAYAWADA,ODA,6-8 Days,1
521344,VIJAYAWADA,ODA,6-8 Days,1
521345,VIJAYAWADA,ODA,6-8 Days,1
521356,VIJAYAWADA,ODA,6-8 Days,1
521358,SECUNDERABAD,ODA,6-8 Days,1
521366,VIJAYAWADA,ODA,6-8 Days,1
521369,VIJAYAWADA,ODA,6-8 Days,1
521375,VIJAYAWADA,ODA,6-8 Days,1
521379,VIJAYAWADA,ODA,6-8 Days,1
521384,SECUNDERABAD,ODA,6-8 Days,1
521390,VIJAYAWADA,ODA,6-8 Days,1
521397,VIJAYAWADA,ODA,6-8 Days,1
521399,SECUNDERABAD,ODA,6-8 Days,1
521401,VIJAYAWADA,ODA,6-8 Days,1
521402,VIJAYAWADA,ODA,6-8 Days,1
521403,VIJAYAWADA,ODA,6-8 Days,1
521404,VIJAYAWADA,ODA,6-8 Days,1
521411,SECUNDERABAD,ODA,6-8 Days,1
521444,VIJAYAWADA,ODA,6-8 Days,1
521456,VIJAYAWADA,ODA,6-8 Days,1
522001,VIJAYAWADA,NORMAL,4-6 days,1
522002,VIJAYAWADA,NORMAL,4-6 days,1
522003,VIJAYAWADA,NORMAL,4-6 days,1
522004,VIJAYAWADA,NORMAL,4-6 days,1
522005,VIJAYAWADA,NORMAL,4-6 days,1
522006,VIJAYAWADA,NORMAL,4-6 days,1
522007,VIJAYAWADA,NORMAL,4-6 days,1
522008,VIJAYAWADA,ODA,4-7 Days,1
522009,VIJAYAWADA,NORMAL,4-6 days,1
522010,VIJAYAWADA,NORMAL,4-6 days,1
522013,VIJAYAWADA,NORMAL,4-6 days,1
522014,VIJAYAWADA,ODA,4-7 Days,1
522015,VIJAYAWADA,NORMAL,4-6 days,1
522016,VIJAYAWADA,ODA,4-7 Days,1
522017,VIJAYAWADA,NORMAL,4-6 days,1
522018,VIJAYAWADA,ODA,4-7 Days,1
522019,VIJAYAWADA,NORMAL,4-6 days,1
522020,VIJAYAWADA,ODA,4-7 Days,1
522021,VIJAYAWADA,ODA,4-7 Days,1
522022,VIJAYAWADA,ODA,4-7 Days,1
522026,VIJAYAWADA,ODA,4-7 Days,1
522034,VIJAYAWADA,NORMAL,4-6 days,1
522035,VIJAYAWADA,NORMAL,6-7 Days,1
522036,VIJAYAWADA,NORMAL,6-7 Days,1
522050,VIJAYAWADA,NORMAL,4-6 days,1
522101,VIJAYAWADA,ODA,4-7 Days,1
522111,VIJAYAWADA,ODA,4-7 Days,1
522112,VIJAYAWADA,ODA,4-7 Days,1
522113,VIJAYAWADA,ODA,4-7 Days,1
522123,VIJAYAWADA,ODA,4-7 Days,1
522124,VIJAYAWADA,ODA,4-7 Days,1
522125,VIJAYAWADA,ODA,4-7 Days,1
522126,VIJAYAWADA,ODA,4-7 Days,1
522180,VIJAYAWADA,ODA,4-7 Days,1
522201,VIJAYAWADA,ODA,4-7 Days,1
522202,VIJAYAWADA,ODA,4-7 Days,1
522210,SECUNDERABAD,ODA,4-7 Days,1
522211,VIJAYAWADA,ODA,4-7 Days,1
522212,VIJAYAWADA,NORMAL,4-6 days,1
522213,VIJAYAWADA,NORMAL,4-6 days,1
522221,SECUNDERABAD,ODA,4-7 Days,1
522223,VIJAYAWADA,ODA,4-7 Days,1
522233,VIJAYAWADA,NORMAL,4-6 days,1
522234,VIJAYAWADA,ODA,4-7 Days,1
522235,VIJAYAWADA,ODA,4-7 Days,1
522236,VIJAYAWADA,ODA,4-7 Days,1
522237,VIJAYAWADA,ODA,4-7 Days,1
522256,VIJAYAWADA,ODA,4-7 Days,1
522257,VIJAYAWADA,ODA,4-7 Days,1
522258,VIJAYAWADA,ODA,4-7 Days,1
522259,VIJAYAWADA,ODA,4-7 Days,1
522261,VIJAYAWADA,ODA,4-7 Days,1
522262,VIJAYAWADA,ODA,4-7 Days,1
522264,VIJAYAWADA,ODA,4-7 Days,1
522265,VIJAYAWADA,ODA,4-7 Days,1
522268,VIJAYAWADA,ODA,4-7 Days,1
522282,SECUNDERABAD,ODA,4-7 Days,1
522301,VIJAYAWADA,ODA,4-7 Days,1
522302,VIJAYAWADA,ODA,4-7 Days,1
522303,VIJAYAWADA,ODA,4-7 Days,1
