Pincode,AreaName,Sarvice Type,Transit Time,Rate group
629179,TAMIL NADU,ODA,6-8 Days,1
629180,TAMIL NADU,ODA,6-8 Days,1
629181,TAMIL NADU,ODA,6-8 Days,1
629183,TAMIL NADU,ODA,6-8 Days,1
629187,TAMIL NADU,ODA,6-8 Days,1
629188,TAMIL NADU,ODA,6-8 Days,1
629189,TAMIL NADU,ODA,6-8 Days,1
629190,TAMIL NADU,ODA,6-8 Days,1
629191,TAMIL NADU,ODA,6-8 Days,1
629193,TAMIL NADU,ODA,6-8 Days,1
629195,TAMIL NADU,ODA,6-8 Days,1
629197,TAMIL NADU,ODA,6-8 Days,1
629201,TAMIL NADU,ODA,6-8 Days,1
629202,TAMIL NADU,ODA,6-8 Days,1
629203,TAMIL NADU,ODA,6-8 Days,1
629204,TAMIL NADU,ODA,6-8 Days,1
629251,TAMIL NADU,ODA,6-8 Days,1
629252,TAMIL NADU,ODA,6-8 Days,1
629253,TAMIL NADU,ODA,6-8 Days,1
629301,TAMIL NADU,ODA,6-8 Days,1
629302,TAMIL NADU,ODA,6-8 Days,1
629303,TAMIL NADU,ODA,6-8 Days,1
629304,TAMIL NADU,ODA,6-8 Days,1
629305,TAMIL NADU,ODA,6-8 Days,1
629401,TAMIL NADU,ODA,6-8 Days,1
629402,TAMIL NADU,ODA,6-8 Days,1
629403,TAMIL NADU,ODA,6-8 Days,1
629501,TAMIL NADU,ODA,6-8 Days,1
629502,TAMIL NADU,ODA,6-8 Days,1
629504,TAMIL NADU,ODA,6-8 Days,1
629601,TAMIL NADU,ODA,6-8 Days,1
629602,TAMIL NADU,ODA,6-8 Days,1
629603,TAMIL NADU,ODA,6-8 Days,1
629701,TAMIL NADU,ODA,6-8 Days,1
629702,TAMIL NADU,ODA,6-8 Days,1
629703,TAMIL NADU,ODA,6-8 Days,1
629704,TAMIL NADU,ODA,6-8 Days,1
629707,TAMIL NADU,ODA,6-8 Days,1
629708,TAMIL NADU,ODA,6-8 Days,1
629801,TAMIL NADU,ODA,6-8 Days,1
629802,TAMIL NADU,ODA,6-8 Days,1
629803,TAMIL NADU,ODA,6-8 Days,1
629804,TAMIL NADU,ODA,6-8 Days,1
629805,TAMIL NADU,ODA,6-8 Days,1
629806,TAMIL NADU,ODA,6-8 Days,1
629807,TAMIL NADU,ODA,6-8 Days,1
629808,TAMIL NADU,ODA,6-8 Days,1
629809,TAMIL NADU,ODA,6-8 Days,1
629851,TAMIL NADU,ODA,6-8 Days,1
629852,TAMIL NADU,ODA,6-8 Days,1
629854,TAMIL NADU,ODA,6-8 Days,1
629855,TAMIL NADU,ODA,6-8 Days,1
629901,TAMIL NADU,ODA,6-8 Days,1
629902,TAMIL NADU,ODA,6-8 Days,1
630001,TAMIL NADU,ODA,5-8 Days,1
630002,TAMIL NADU,ODA,5-8 Days,1
630003,TAMIL NADU,ODA,5-8 Days,1
630004,TAMIL NADU,ODA,5-8 Days,1
630005,TAMIL NADU,ODA,5-8 Days,1
630108,TAMIL NADU,ODA,6-9 Days,1
630203,TAMIL NADU,ODA,6-9 Days,1
630205,TAMIL NADU,ODA,6-9 Days,1
630208,TAMIL NADU,ODA,6-9 Days,1
630209,TAMIL NADU,ODA,5-8 Days,1
