Pincode,AreaName,Sarvice Type,Transit Time,Rate group
230404,UTTAR PRADESH,ODA,3-5 Days,1
230405,UTTAR PRADESH,ODA,3-5 Days,1
230501,UTTAR PRADESH,ODA,3-5 Days,1
230502,UTTAR PRADESH,ODA,3-5 Days,1
230503,UTTAR PRADESH,ODA,3-5 Days,1
231001,UTTAR PRADESH,ODA,3-5 Days,1
231205,VARANASI,ODA,3-5 Days,1
231206,VARANASI,ODA,3-5 Days,1
231207,VARANASI,ODA,3-5 Days,1
231208,VARANASI,ODA,3-5 Days,1
231209,VARANASI,ODA,3-5 Days,1
231210,VARANASI,ODA,3-5 Days,1
231211,VARANASI,ODA,3-5 Days,1
231212,VARANASI,ODA,3-5 Days,1
231213,VARANASI,ODA,3-5 Days,1
231215,VARANASI,ODA,3-5 Days,1
231216,VARANASI,ODA,3-5 Days,1
231217,VARANASI,ODA,3-5 Days,1
231218,VARANASI,ODA,3-5 Days,1
231219,VARANASI,ODA,3-5 Days,1
231220,VARANASI,ODA,3-5 Days,1
231221,VARANASI,ODA,3-5 Days,1
231222,VARANASI,ODA,3-5 Days,1
231223,VARANASI,ODA,3-5 Days,1
231225,VARANASI,ODA,3-5 Days,1
231301,VARANASI,ODA,3-5 Days,1
231302,VARANASI,ODA,3-5 Days,1
231303,VARANASI,ODA,3-5 Days,1
231304,VARANASI,ODA,3-5 Days,1
231305,VARANASI,ODA,3-5 Days,1
231306,VARANASI,ODA,3-5 Days,1
231309,VARANASI,ODA,3-5 Days,1
231310,VARANASI,ODA,3-5 Days,1
231311,VARANASI,ODA,3-5 Days,1
231312,UTTAR PRADESH,ODA,3-5 Days,1
231314,VARANASI,ODA,3-5 Days,1
232101,VARANASI,ODA,3-5 Days,1
232102,VARANASI,ODA,3-5 Days,1
232103,VARANASI,ODA,3-5 Days,1
232104,VARANASI,ODA,3-5 Days,1
232105,VARANASI,ODA,3-5 Days,1
232106,VARANASI,ODA,3-5 Days,1
232107,VARANASI,ODA,3-5 Days,1
232108,VARANASI,ODA,3-5 Days,1
232109,VARANASI,ODA,3-5 Days,1
232110,VARANASI,ODA,3-5 Days,1
232111,VARANASI,ODA,3-5 Days,1
232114,VARANASI,ODA,3-5 Days,1
232115,VARANASI,ODA,3-5 Days,1
232116,VARANASI,ODA,3-5 Days,1
232118,VARANASI,ODA,3-5 Days,1
232119,VARANASI,ODA,3-5 Days,1
