Pincode,AreaName,Sarvice Type,Transit Time,Rate group
614019,TAMIL NADU,ODA,6-9 Days,1
614020,TAMIL NADU,ODA,6-9 Days,1
614028,TAMIL NADU,ODA,6-9 Days,1
614031,TAMIL NADU,ODA,6-9 Days,1
614101,TAMIL NADU,ODA,6-9 Days,1
614102,TAMIL NADU,ODA,6-9 Days,1
614103,TAMIL NADU,ODA,6-9 Days,1
614201,TAMIL NADU,ODA,6-9 Days,1
614202,TAMIL NADU,ODA,6-9 Days,1
614203,TAMIL NADU,ODA,6-9 Days,1
614204,TAMIL NADU,ODA,6-9 Days,1
614205,TAMIL NADU,ODA,6-9 Days,1
614206,TAMIL NADU,ODA,6-9 Days,1
614207,TAMIL NADU,ODA,6-9 Days,1
614208,TAMIL NADU,ODA,6-9 Days,1
614209,TAMIL NADU,ODA,6-9 Days,1
614210,TAMIL NADU,ODA,6-9 Days,1
614211,TAMIL NADU,ODA,6-9 Days,1
614301,TAMIL NADU,ODA,6-9 Days,1
614302,TAMIL NADU,ODA,6-9 Days,1
614303,TAMIL NADU,ODA,6-9 Days,1
614401,TAMIL NADU,ODA,6-9 Days,1
614402,TAMIL NADU,ODA,6-9 Days,1
614403,TAMIL NADU,ODA,6-9 Days,1
614404,TAMIL NADU,ODA,6-9 Days,1
614407,TAMIL NADU,ODA,6-9 Days,1
614601,TAMIL NADU,ODA,6-9 Days,1
614602,TAMIL NADU,ODA,6-9 Days,1
614612,TAMIL NADU,ODA,6-9 Days,1
614613,TAMIL NADU,ODA,6-9 Days,1
614614,TAMIL NADU,ODA,6-9 Days,1
614615,TAMIL NADU,ODA,6-9 Days,1
614616,TAMIL NADU,ODA,6-9 Days,1
614617,TAMIL NADU,ODA,6-9 Days,1
614618,TAMIL NADU,ODA,6-9 Days,1
614619,TAMIL NADU,ODA,6-9 Days,1
614620,TAMIL NADU,ODA,6-9 Days,1
614621,TAMIL NADU,ODA,6-9 Days,1
614622,TAMIL NADU,ODA,6-9 Days,1
614623,TAMIL NADU,ODA,6-9 Days,1
614625,TAMIL NADU,ODA,6-9 Days,1
614626,TAMIL NADU,ODA,6-9 Days,1
614627,TAMIL NADU,ODA,6-9 Days,1
614628,TAMIL NADU,ODA,6-9 Days,1
614629,TAMIL NADU,ODA,6-9 Days,1
614630,TAMIL NADU,ODA,6-9 Days,1
614631,TAMIL NADU,ODA,6-9 Days,1
614632,TAMIL NADU,ODA,6-9 Days,1
614639,TAMIL NADU,ODA,6-9 Days,1
614640,TAMIL NADU,ODA,6-9 Days,1
614644,TAMIL NADU,ODA,6-9 Days,1
614647,TAMIL NADU,ODA,6-9 Days,1
614701,TAMIL NADU,ODA,6-9 Days,1
614702,TAMIL NADU,ODA,6-9 Days,1
614703,TAMIL NADU,ODA,6-9 Days,1
614704,TAMIL NADU,ODA,6-9 Days,1
614705,TAMIL NADU,ODA,6-9 Days,1
614706,TAMIL NADU,ODA,6-9 Days,1
614707,TAMIL NADU,ODA,6-9 Days,1
614708,TAMIL NADU,ODA,6-9 Days,1
614710,TAMIL NADU,ODA,6-9 Days,1
614711,TAMIL NADU,ODA,6-9 Days,1
614712,TAMIL NADU,ODA,6-9 Days,1
614713,TAMIL NADU,ODA,6-9 Days,1
614714,TAMIL NADU,ODA,6-9 Days,1
614715,TAMIL NADU,ODA,6-9 Days,1
614716,TAMIL NADU,ODA,6-9 Days,1
614717,TAMIL NADU,ODA,6-9 Days,1
614719,TAMIL NADU,ODA,6-9 Days,1
614723,TAMIL NADU,ODA,6-9 Days,1
614738,TAMIL NADU,ODA,6-9 Days,1
614801,TAMIL NADU,ODA,6-9 Days,1
614802,TAMIL NADU,ODA,6-9 Days,1
614803,TAMIL NADU,ODA,6-9 Days,1
614804,TAMIL NADU,ODA,6-9 Days,1
614805,TAMIL NADU,ODA,6-9 Days,1
614806,TAMIL NADU,ODA,6-9 Days,1
614807,TAMIL NADU,ODA,6-9 Days,1
614808,TAMIL NADU,ODA,6-9 Days,1
614809,TAMIL NADU,ODA,6-9 Days,1
614810,TAMIL NADU,ODA,6-9 Days,1
614818,TAMIL NADU,ODA,6-9 Days,1
614820,TAMIL NADU,ODA,6-9 Days,1
614901,TAMIL NADU,ODA,6-9 Days,1
614902,TAMIL NADU,ODA,6-9 Days,1
614903,TAMIL NADU,ODA,6-9 Days,1
614904,TAMIL NADU,ODA,6-9 Days,1
614905,TAMIL NADU,ODA,6-9 Days,1
614906,TAMIL NADU,ODA,6-9 Days,1
614915,TAMIL NADU,ODA,6-9 Days,1
620001,TAMIL NADU,NORMAL,6-8 Days,1
620002,TAMIL NADU,NORMAL,6-8 Days,1
620003,TAMIL NADU,NORMAL,6-8 Days,1
620004,TAMIL NADU,NORMAL,6-8 Days,1
620005,TAMIL NADU,NORMAL,6-8 Days,1
620006,TAMIL NADU,NORMAL,6-8 Days,1
620007,TAMIL NADU,NORMAL,6-8 Days,1
620008,TAMIL NADU,NORMAL,6-8 Days,1
620009,TAMIL NADU,NORMAL,6-8 Days,1
620010,TAMIL NADU,NORMAL,6-8 Days,1
620011,TAMIL NADU,NORMAL,6-8 Days,1
620012,TAMIL NADU,NORMAL,6-8 Days,1
620013,TAMIL NADU,NORMAL,6-8 Days,1
620014,TAMIL NADU,NORMAL,6-8 Days,1
620015,TAMIL NADU,NORMAL,6-8 Days,1
620016,TAMIL NADU,NORMAL,6-8 Days,1
620017,TAMIL NADU,NORMAL,6-8 Days,1
620018,TAMIL NADU,NORMAL,6-8 Days,1
620019,TAMIL NADU,NORMAL,6-8 Days,1
620020,TAMIL NADU,NORMAL,6-8 Days,1
620021,TAMIL NADU,NORMAL,6-8 Days,1
620022,TAMIL NADU,NORMAL,6-8 Days,1
620023,TAMIL NADU,NORMAL,6-8 Days,1
620024,TAMIL NADU,NORMAL,6-8 Days,1
620025,TAMIL NADU,NORMAL,6-8 Days,1
620026,TAMIL NADU,ODA,6-9 Days,1
620052,TAMIL NADU,ODA,6-9 Days,1
620102,TAMIL NADU,ODA,6-9 Days,1
621001,TAMIL NADU,ODA,6-9 Days,1
621002,TAMIL NADU,ODA,6-9 Days,1
621003,TAMIL NADU,ODA,6-9 Days,1
621004,TAMIL NADU,ODA,6-9 Days,1
621005,TAMIL NADU,ODA,6-9 Days,1
621006,TAMIL NADU,ODA,6-9 Days,1
621007,TAMIL NADU,ODA,6-9 Days,1
621008,TAMIL NADU,NORMAL,6-8 Days,1
621009,TAMIL NADU,ODA,6-9 Days,1
621010,TAMIL NADU,ODA,6-9 Days,1
621011,TAMIL NADU,ODA,6-9 Days,1
621012,TAMIL NADU,ODA,6-9 Days,1
621014,TAMIL NADU,ODA,6-9 Days,1
621015,TAMIL NADU,ODA,6-9 Days,1
621016,TAMIL NADU,ODA,6-9 Days,1
621018,TAMIL NADU,ODA,6-9 Days,1
621019,TAMIL NADU,ODA,6-9 Days,1
621021,TAMIL NADU,ODA,6-9 Days,1
621022,TAMIL NADU,ODA,6-9 Days,1
621023,TAMIL NADU,ODA,6-9 Days,1
621101,TAMIL NADU,ODA,6-9 Days,1
621102,TAMIL NADU,ODA,6-9 Days,1
621103,TAMIL NADU,ODA,6-9 Days,1
621104,TAMIL NADU,ODA,6-9 Days,1
621105,TAMIL NADU,ODA,6-9 Days,1
621106,TAMIL NADU,ODA,6-9 Days,1
621107,TAMIL NADU,ODA,6-9 Days,1
621108,TAMIL NADU,ODA,6-9 Days,1
621109,TAMIL NADU,ODA,6-9 Days,1
621110,TAMIL NADU,ODA,6-9 Days,1
621111,TAMIL NADU,ODA,6-9 Days,1
621112,TAMIL NADU,ODA,6-9 Days,1
621113,TAMIL NADU,ODA,6-9 Days,1
621114,TAMIL NADU,ODA,6-9 Days,1
621115,TAMIL NADU,ODA,6-9 Days,1
621116,TAMIL NADU,NORMAL,6-8 Days,1
621117,TAMIL NADU,ODA,6-9 Days,1
621118,TAMIL NADU,ODA,6-9 Days,1
621121,TAMIL NADU,ODA,6-9 Days,1
621126,TAMIL NADU,ODA,6-9 Days,1
621127,TAMIL NADU,ODA,6-9 Days,1
621132,TAMIL NADU,ODA,6-9 Days,1
621133,TAMIL NADU,ODA,6-9 Days,1
621201,TAMIL NADU,ODA,6-9 Days,1
621202,TAMIL NADU,ODA,6-9 Days,1
621203,TAMIL NADU,ODA,6-9 Days,1
621204,TAMIL NADU,ODA,6-9 Days,1
621205,TAMIL NADU,ODA,6-9 Days,1
621206,TAMIL NADU,ODA,6-9 Days,1
621211,TAMIL NADU,ODA,6-9 Days,1
621212,TAMIL NADU,ODA,6-9 Days,1
621213,TAMIL NADU,ODA,6-9 Days,1
621214,TAMIL NADU,ODA,6-9 Days,1
621215,TAMIL NADU,ODA,6-9 Days,1
621216,TAMIL NADU,ODA,6-9 Days,1
621217,TAMIL NADU,ODA,6-9 Days,1
621218,TAMIL NADU,ODA,6-9 Days,1
621219,TAMIL NADU,ODA,6-9 Days,1
621220,TAMIL NADU,ODA,6-9 Days,1
621221,TAMIL NADU,ODA,6-9 Days,1
621301,TAMIL NADU,ODA,6-9 Days,1
621302,TAMIL NADU,ODA,6-9 Days,1
621303,TAMIL NADU,ODA,6-9 Days,1
621304,TAMIL NADU,ODA,6-9 Days,1
621305,TAMIL NADU,ODA,6-9 Days,1
621306,TAMIL NADU,ODA,6-9 Days,1
621307,TAMIL NADU,ODA,6-9 Days,1
621308,TAMIL NADU,ODA,6-9 Days,1
621310,TAMIL NADU,ODA,6-9 Days,1
621311,TAMIL NADU,ODA,6-9 Days,1
621312,TAMIL NADU,ODA,6-9 Days,1
621313,TAMIL NADU,ODA,6-9 Days,1
621314,TAMIL NADU,ODA,6-9 Days,1
621315,TAMIL NADU,ODA,6-9 Days,1
621316,TAMIL NADU,ODA,6-9 Days,1
621317,TAMIL NADU,ODA,6-9 Days,1
621324,TAMIL NADU,ODA,6-9 Days,1
621601,TAMIL NADU,ODA,6-9 Days,1
621651,TAMIL NADU,ODA,6-9 Days,1
621652,TAMIL NADU,ODA,6-9 Days,1
621653,TAMIL NADU,ODA,6-9 Days,1
621701,TAMIL NADU,ODA,6-9 Days,1
621702,TAMIL NADU,ODA,6-9 Days,1
621703,TAMIL NADU,ODA,6-9 Days,1
621704,TAMIL NADU,ODA,6-9 Days,1
621705,TAMIL NADU,ODA,6-9 Days,1
621706,TAMIL NADU,ODA,6-9 Days,1
621707,TAMIL NADU,ODA,6-9 Days,1
621708,TAMIL NADU,ODA,6-9 Days,1
621709,TAMIL NADU,ODA,6-9 Days,1
621710,TAMIL NADU,ODA,6-9 Days,1
621711,TAMIL NADU,ODA,6-9 Days,1
621712,TAMIL NADU,ODA,6-9 Days,1
621713,TAMIL NADU,ODA,6-9 Days,1
621714,TAMIL NADU,ODA,6-9 Days,1
621715,TAMIL NADU,ODA,6-9 Days,1
621716,TAMIL NADU,ODA,6-9 Days,1
621717,TAMIL NADU,ODA,6-9 Days,1
621718,TAMIL NADU,ODA,6-9 Days,1
621719,TAMIL NADU,ODA,6-9 Days,1
621722,TAMIL NADU,ODA,6-9 Days,1
621729,TAMIL NADU,ODA,6-9 Days,1
621730,TAMIL NADU,ODA,6-9 Days,1
621801,TAMIL NADU,ODA,6-9 Days,1
621802,TAMIL NADU,ODA,6-9 Days,1
621803,TAMIL NADU,ODA,6-9 Days,1
621804,TAMIL NADU,ODA,6-9 Days,1
621805,TAMIL NADU,ODA,6-9 Days,1
621806,TAMIL NADU,ODA,6-9 Days,1
621851,TAMIL NADU,ODA,6-9 Days,1
621853,TAMIL NADU,ODA,6-9 Days,1
622001,TAMIL NADU,ODA,6-9 Days,1
622002,TAMIL NADU,ODA,6-9 Days,1
622003,TAMIL NADU,ODA,6-9 Days,1
622004,TAMIL NADU,ODA,6-9 Days,1
622005,TAMIL NADU,ODA,6-9 Days,1
622101,TAMIL NADU,ODA,6-9 Days,1
622102,TAMIL NADU,ODA,6-9 Days,1
622103,TAMIL NADU,ODA,6-9 Days,1
622104,TAMIL NADU,ODA,6-9 Days,1
622105,TAMIL NADU,ODA,6-9 Days,1
622201,TAMIL NADU,ODA,6-9 Days,1
622202,TAMIL NADU,ODA,6-9 Days,1
622203,TAMIL NADU,ODA,6-9 Days,1
622204,TAMIL NADU,ODA,6-9 Days,1
622209,TAMIL NADU,ODA,6-9 Days,1
622213,TAMIL NADU,ODA,6-9 Days,1
622301,TAMIL NADU,ODA,6-9 Days,1
622302,TAMIL NADU,ODA,6-9 Days,1
622303,TAMIL NADU,ODA,6-9 Days,1
622304,TAMIL NADU,ODA,6-9 Days,1
622305,TAMIL NADU,ODA,6-9 Days,1
622401,TAMIL NADU,ODA,6-9 Days,1
622402,TAMIL NADU,ODA,6-9 Days,1
622403,TAMIL NADU,ODA,6-9 Days,1
622404,TAMIL NADU,ODA,6-9 Days,1
622405,TAMIL NADU,ODA,6-9 Days,1
622406,TAMIL NADU,ODA,6-9 Days,1
622407,TAMIL NADU,ODA,6-9 Days,1
622408,TAMIL NADU,ODA,6-9 Days,1
622409,TAMIL NADU,ODA,6-9 Days,1
622411,TAMIL NADU,ODA,6-9 Days,1
622412,TAMIL NADU,ODA,6-9 Days,1
622419,TAMIL NADU,ODA,6-9 Days,1
622501,TAMIL NADU,ODA,6-9 Days,1
622502,TAMIL NADU,ODA,6-9 Days,1
622503,TAMIL NADU,ODA,6-9 Days,1
622504,TAMIL NADU,ODA,6-9 Days,1
622505,TAMIL NADU,ODA,6-9 Days,1
622506,TAMIL NADU,ODA,6-9 Days,1
622507,TAMIL NADU,ODA,6-9 Days,1
622513,TAMIL NADU,ODA,6-9 Days,1
622515,TAMIL NADU,ODA,6-9 Days,1
623001,TAMIL NADU,ODA,6-9 Days,1
623002,TAMIL NADU,ODA,6-9 Days,1
623004,TAMIL NADU,ODA,6-9 Days,1
623005,TAMIL NADU,ODA,6-9 Days,1
623006,TAMIL NADU,ODA,6-9 Days,1
623101,TAMIL NADU,ODA,6-9 Days,1
623103,TAMIL NADU,ODA,5-8 Days,1
623105,TAMIL NADU,ODA,6-9 Days,1
623106,TAMIL NADU,ODA,5-8 Days,1
623107,TAMIL NADU,ODA,6-9 Days,1
623202,TAMIL NADU,ODA,6-9 Days,1
623210,TAMIL NADU,ODA,6-9 Days,1
623211,TAMIL NADU,ODA,6-9 Days,1
623213,TAMIL NADU,ODA,6-9 Days,1
623214,TAMIL NADU,ODA,6-9 Days,1
623302,TAMIL NADU,ODA,6-9 Days,1
623303,TAMIL NADU,ODA,6-9 Days,1
623304,TAMIL NADU,ODA,6-9 Days,1
